,0,1,2,3,4,5,6,7,,,,,,
0,937.5421836,534.6839306,476.2898397,805.7669602,663.7263206,643.7731028,610.5764581,603.8022255,,,,667.4798279,,556.4798279
1,747.8374077,591.2271946,556.8174617,477.4555048,500.2446268,440.3361606,435.4507126,,,,,535.6241527,,424.6241527
2,648.1968324,500.6207107,462.4960495,456.6841568,361.1786036,353.4975577,322.0104543,314.0387946,,,,443.5263379,,332.5263379
3,579.1138693,436.0666487,453.7089122,367.3381826,272.2965985,239.4453217,232.227832,226.4788222,,,,368.5996236,,257.5996236
4,519.3208014,389.4973091,447.2724551,321.9477111,210.0969087,172.6834244,167.4783077,167.8794721,,,,318.3281311,,207.3281311
5,476.1993211,355.6594844,440.8192606,275.478684,165.2396753,124.5360103,120.7821789,121.0714911,,,,279.8163735,,168.8163735
6,442.3981672,331.2508588,433.6740762,241.966103,132.4081032,113.1607051,87.10581654,87.31446299,,,,254.5662614,,143.5662614
7,415.0360133,314.2519876,220.6535955,83.59288595,119.4540651,77.68707794,63.43938017,,,,,184.8735722,,73.87357222
8,393.6958108,301.621283,199.2927517,51.49863307,76.81084879,56.0264471,45.75127771,,,,,160.6710075,,49.67100745
9,376.7545452,292.5309419,183.8877163,35.52478861,61.9101533,66.34273853,32.99495371,,,,,149.9922625,,38.99226251
10,363.2919275,285.9876604,172.7778969,25.61980374,51.1640544,55.09390035,23.79533479,,,,,139.6757969,,28.67579687
11,352.5662357,281.5011219,164.7657059,18.47651652,43.36507997,53.22608115,17.16074412,,,,,133.0087836,,22.00878361
12,345.0320916,278.4847002,158.9874657,13.32491327,37.69352033,51.36179235,12.37600317,,,,,128.1800695,,17.18006952
13,339.2410586,275.2546136,154.8203085,9.609674711,33.61382842,42.77835292,8.925338745,,,,,123.4633108,,12.46331079
14,334.0972885,273.7326104,151.8150338,6.930315132,30.65049486,39.62275721,6.436785014,,,,,120.4693264,,9.469326417
15,330.3394453,272.5975818,149.6476866,4.998011825,28.5935034,37.36333146,4.642087264,,,,,118.3116639,,7.31166395
16,326.7762078,271.8470593,148.084637,3.604471329,27.02329969,35.70481313,3.347785287,,,,,116.6268962,,5.626896219
17,324.3398418,271.2773899,146.9573952,2.599476356,25.89729976,34.52101315,2.414359251,,,,,115.4295393,,4.429539345
18,321.8533624,270.9155533,146.1444498,1.874693043,25.07437333,33.64639393,1.741190098,,,,,114.464288,,3.464287986
19,320.2759418,270.633193,145.558169,1.351993065,24.485683,33.02483031,1.255713273,,,,,113.7979319,,2.797931921
20,318.4829031,270.3933423,145.1353544,0.975031755,24.06896567,32.59161508,0.905596595,,,,,113.2218298,,2.221829843
21,317.4137053,270.2129443,144.8304286,0.703174408,23.77012759,32.28243467,0.653099088,,,,,112.8379877,,1.837987708
22,316.1564385,270.0826105,144.6105218,0.507116046,23.55461124,32.05945962,0.471002675,,,,,112.4916801,,1.491680054
23,315.4811855,269.9887841,144.4519293,0.365722474,23.39918494,31.89865425,0.339678195,,,,,112.2750198,,1.275019823
24,314.5994537,269.9516521,144.3375553,0.263752111,23.24048764,31.76975506,0.244969472,,,,,112.0582322,,1.058232198
25,314.1755293,269.9210213,144.255071,0.19021302,23.16677739,31.678458,0.176667337,,,,,111.9376768,,0.937676764
26,313.5679581,269.9119839,144.1955848,0.137178022,23.11073166,31.60707218,0.127409132,,,,,111.808274,,0.808273971
27,313.3485181,269.9072039,144.1526846,0.098930188,23.06992977,31.93686304,0.09188505,,,,,111.8008592,,0.800859235
28,312.859464,269.8986717,144.4807942,0.071346575,23.0416295,31.79485475,0.066265755,,,,,111.7447181,,0.744718069
29,312.7053911,269.8996195,144.3583721,0.56153925,23.01965016,31.6894269,0.047789606,,,,,111.7545412,,0.754541231
30,312.3772178,269.8965846,144.2700837,0.404971456,23.00462144,31.61497344,0.034464957,,,,,111.6575596,,0.657559628
31,312.2678036,269.899478,144.2064117,0.292057733,22.99265981,31.55912226,0.024855473,,,,,111.6060555,,0.606055511
32,312.0475806,269.8988479,144.1604927,0.210626498,22.98463392,31.51999673,0.017925296,,,,,111.5485862,,0.548586235
33,311.9690633,269.9020369,144.1273768,0.151899835,22.97804069,31.49023418,0.012927383,,,,,111.518797,,0.518797013
34,311.8213147,269.902353,144.1034942,0.10954728,22.97372424,31.46961191,0.009322984,,,,,111.4841955,,0.484195473
35,311.7644387,269.9051972,144.0862706,0.07900342,22.97003323,31.45362954,0.006723559,,,,,111.4664709,,0.466470893
