,ele_load,p_el,p_hp,p_eb,p_pv,p_fc,p_bs,p_bs_ch,p_bs_di
0,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
1,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
2,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
3,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
4,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
5,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
6,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
7,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
8,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
9,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
10,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
11,184.5280381954286,0.0,310.23668105827437,0.0,0.0,494.764719253703,389.103813445343,0.0,0.0
12,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
13,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
14,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
15,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
16,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
17,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
18,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
19,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
20,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
21,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
22,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
23,189.7325416902856,0.0,315.6225162738261,0.0,0.0,505.35505796411167,389.103813445343,0.0,0.0
24,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
25,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
26,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
27,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
28,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
29,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
30,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
31,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
32,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
33,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
34,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
35,195.558107544,0.0,321.94882457236196,0.0,0.0,517.5069321163619,389.103813445343,0.0,0.0
36,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
37,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
38,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
39,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
40,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
41,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
42,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
43,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
44,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
45,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
46,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
47,201.838758857142,0.0,321.94882457236196,0.0,0.0,523.7875834295039,389.103813445343,0.0,0.0
48,208.433397829714,0.0,321.94882457236196,0.0,0.0,530.382222402076,389.103813445343,0.0,0.0
49,208.433397829714,0.0,321.94882457236196,0.0,0.0,530.382222402076,389.103813445343,0.0,0.0
50,208.433397829714,0.0,321.94882457236196,0.0,0.0,530.382222402076,389.103813445343,0.0,0.0
51,208.433397829714,0.0,321.94882457236196,0.0,0.0,530.382222402076,389.103813445343,0.0,0.0
