,0,1,2,3,4,5,6,7,8,9,10,11,,,
0,1021.608566,435.2969563,772.6776621,721.810824,767.057791,738.3941501,728.7154529,585.8408017,729.7822151,491.103518,951.0740662,,,,722.1238185
1,833.6264038,455.016122,567.4987656,520.5562755,553.1875298,532.5158558,525.5357629,422.4972744,526.3050915,414.5586347,828.4300399,,,,561.7934324
2,682.7758039,372.3407891,423.384662,378.2103949,403.1011657,388.1587836,379.0064242,304.6970207,380.3308495,378.3387503,803.5991773,,,,444.9039837
3,487.7620002,226.3732692,305.6739172,272.7581632,290.7089149,279.9327524,352.2107459,236.3110634,274.2873948,238.1048408,726.1045066,,,,335.4752335
4,241.6142565,94.43623571,357.9612661,201.0676787,196.7080138,207.4938694,199.7401777,141.7927394,170.4230568,197.8108667,55.95282801,614.4287745,,,187.7273626
5,138.1278669,80.59125482,18.93977764,145.0061962,141.8620886,149.640643,144.0488277,102.2582342,122.9058761,142.6574451,498.3153854,,,,153.1230541
6,124.3708036,56.35757773,24.74844638,104.5757183,102.3082475,107.9179935,103.8852823,73.74669897,88.63738664,102.8818436,306.5988486,,,,108.7298952
7,111.8325483,26.68409625,17.84811007,75.41802453,73.78276762,77.82840996,74.92009518,53.18472053,63.92360204,74.19643422,217.0068462,,,,78.78415045
8,73.68847122,16.19857195,12.87171842,54.39004882,53.21073255,56.12837306,56.17296539,38.35581168,46.10048934,53.50906106,163.3417608,,,,56.72436403
9,53.6534244,11.6821028,9.282839161,39.22507158,38.37457106,40.47871804,40.51087719,27.66148388,33.24679851,38.58971992,154.6239716,,,,44.30268892
10,39.09956385,8.424910922,24.34908794,28.28837763,27.67501279,29.19248368,29.21567625,19.94893751,23.97696049,27.83017406,131.5888576,,,,35.41727662
11,28.52020454,6.075885933,29.09376558,20.4010414,19.9586943,21.05306552,21.06979157,14.38679536,17.29172913,20.07059367,124.7861298,,,,29.33706335
12,46.90653857,4.381813672,21.10959791,14.7128441,14.39383177,15.18307153,15.19513405,10.37548393,12.47046707,14.47453147,107.809589,,,,25.18299119
13,45.23504891,3.160080895,15.3159552,10.61062411,10.38055846,10.94974321,10.95844246,7.482602219,8.993464321,10.43875756,99.31325815,,,,21.16713959
14,32.78429717,2.278990394,11.10528807,7.652180851,7.486261873,8.684778122,7.903020854,5.396310796,6.485915887,7.528233955,98.1354509,,,,17.76733899
15,23.77182932,1.643564638,8.05118408,5.518607689,5.398950069,6.263297255,5.699508741,3.891716993,4.677519518,5.429219539,94.31234344,,,,14.96888557
16,17.24581478,1.185307638,5.836839051,3.979915193,3.893620387,4.516971182,4.1103776,2.80663248,3.373338357,3.915450154,90.85714161,,,,12.8837644
17,12.51840795,0.854821383,4.231397627,2.870239349,2.808005172,3.257553941,2.964326363,2.024090111,2.43278764,2.823748386,88.93930848,,,,11.42951695
18,9.092432688,0.616480965,3.067455278,2.069962178,2.02508007,2.349286115,2.137815948,1.459735396,1.754480303,2.036433777,87.31670674,,,,10.35689722
19,6.608449182,0.444594377,2.223622415,1.492817461,1.460449336,1.694260587,1.541752313,1.052733481,1.265297917,1.468637415,86.29231964,,,,9.594994011
20,4.806532512,0.32063303,1.611878743,1.076591639,1.053248361,1.221868599,1.111882525,0.759211419,0.912508858,1.059153447,85.48643853,,,,9.038177061
21,3.498670657,0.231234459,1.16939784,0.77641747,0.75958274,0.881188458,0.801868588,0.547528875,0.658084081,0.763841377,84.9123809,,,,8.636381404
22,2.548828729,0.166761905,0.84886141,0.559937553,0.547796665,0.635496402,0.578292416,0.39486744,0.474597757,0.550867913,84.51252542,,,,8.347166692
23,1.858548051,0.120265522,0.616159245,0.403816343,0.395060565,0.458307952,0.417053522,0.284770908,0.342270901,0.397275491,84.14065549,,,,8.130380362
