,fc,hp,eb,ht,ld
0,49.30761701898996,49.2720768272697,49.248254135978414,50.56894279288616,50.36233684207622
1,49.30779580908944,49.27225540055747,49.24843256393666,50.42636679426465,50.39412193489056
2,49.30781295334555,49.272272524023435,49.248449673466894,50.41269512316393,50.39716982050288
3,49.48969684194793,49.45358439651352,49.42937434639555,0.8356229974921234,50.400000000000034
4,49.30781295334555,49.272272524023435,49.248449673466894,50.41269512316393,50.39716982050288
5,49.30779580908944,49.27225540055747,49.24843256393666,50.42636679426465,50.39412193489056
6,49.47238114195642,49.499323266446595,49.38676163764143,0.8492518353056653,50.361727322446654
7,49.495864181099535,49.55207186964742,49.31945692930128,0.8492518353056653,50.2921896406948
8,49.364790184395645,49.42202063380063,49.06519421420421,50.16543311263541,50.22597426628113
9,49.37078627605604,49.459202174165796,49.20058887665965,0.8750133525429646,50.29001676024512
10,49.496064456517445,49.50323439669512,49.372848519638296,0.8492518353056653,50.347352607872665
11,49.01968484083051,49.589344942070056,48.9119054584998,49.28756845980183,50.29574202297397
12,49.23283104598045,49.19491585490141,49.04589564666401,50.30899621402506,50.33632856705589
13,49.45901615585842,49.49429649484347,49.397488319571664,0.8456682903866408,50.371244642074714
14,49.50973190560455,49.48973999070489,49.382065960315344,0.8492518353056653,50.35687585627795
15,49.567620767894596,49.22037635167328,49.19640756834275,50.68589189582468,50.27245275393767
16,50.02596548771464,49.130819748667534,49.106924426499404,49.884559669142504,50.33622637696885
17,50.09534532905309,49.11698359655753,49.0930996238576,49.94982002035607,50.30423073674501
18,49.95063612624284,49.145784450975896,49.12187685361653,49.85231664203485,50.3623452669475
19,49.73736752382979,49.18730364075935,49.163361986191035,50.32624776834331,50.310107486990205
20,49.60429879847368,49.21292093455003,49.18895826672173,50.81426787044995,50.23458036346864
21,49.466555334631096,49.2396520333545,49.21566743863832,51.17690397234787,50.18821933375659
22,49.30722515027867,49.27168543376217,49.24786306100128,50.88143813233057,50.29267088522289
23,49.30751905181211,49.271978978892776,49.24815636723406,50.64706662774728,50.34492035286286
