,场景1,场景2,场景3,场景4,场景5,场景6,场景7,场景8,场景9,场景10,场景11,场景12,场景13,场景14,场景15,场景16,场景17,场景18,场景19,场景20,场景21,场景22,场景23,场景24
0,4306.070145803437,5895.100513237325,3276.177492626169,953.8409808870786,,,2672.4581123675553,3831.9701672229394,,497.5267464523736,1321.2256014592786,,1406.0104092177767,241.5548417009751,742.5769699495678,193.20646840388622,803.8964300159146,,806.9908618810375,224.8997751192527,,,,
1,4570.363543076879,5856.4469538144585,,1101.011177857964,,,2035.2075564656584,3331.710863369097,,423.60776879861885,1013.8655806947843,,1143.0532190497788,149.16347188643795,674.9306394592988,104.22698298835712,600.7019344494533,,746.9453315306505,144.9370459873196,,,,
2,,5810.105898125523,,,,,1972.5101962507144,3247.9159624406357,,385.75912310070936,955.6249826392284,,1087.0837931209894,107.57386670559163,621.4267971178633,63.71407080449035,544.1445622113447,,558.1634884074898,107.83512758922296,,,,
3,,5749.189951304955,,,,,1925.0879011604347,3168.96453509834,,357.65874652798254,913.9819118171445,,1047.84355516421,76.76740722550903,582.059934730961,33.53126058279054,502.82054099216396,,460.98264995954383,78.33212099984564,,,,
4,,5844.61505743004,,,,,1888.990117403727,3118.165931499231,,338.1438660676813,891.8216209431494,,1022.3046245989566,55.36319802543949,557.51249535224,24.18210913694611,477.5301893383471,,445.3127425356386,62.127041471865255,,,,
5,,5864.761666885949,,,,,1862.0058871967653,3079.34615944109,,324.2346278126572,875.734813047773,,1003.470053866064,39.92688832905401,541.2232982788419,17.439678441773367,459.18929500437025,,428.01557326380185,50.81017641983237,,,,
6,,5681.240480802406,,,,,1836.7916370561684,3045.8520914736728,,316.579841153879,860.1661001468287,,991.6379657516238,28.794514560166135,546.6209716723323,12.577165309694237,445.1381423780025,,424.2400738090122,22.992786298306726,,,,
7,,5678.967253254308,,,,,1817.523629267671,3019.8288369006464,,308.4233755936335,848.2207490849933,,983.0085877435703,20.766057748413004,539.788307565648,9.070413067278878,434.72228456678147,,415.10148251366445,19.135024052798258,,,,
8,,5677.1283274331445,,,,,1802.7358638659364,2999.623841628265,,302.54197733612574,839.0753279609451,,976.7076695885296,14.976086973417978,534.8607198086667,6.54140986344737,427.04255471030996,,402.3913687529319,14.55835828853975,,,,
9,,5675.663222123101,,,,,1791.3417512311462,2983.9182674462218,,304.91145154080317,832.052149575836,,972.1010782500656,10.800469870239112,531.307036981056,4.717540721048408,421.3543032698953,,393.20339479696975,11.25843928544225,,,,
10,,5674.543157581988,,,,,1782.5372949222883,2971.676835594642,,301.7962334299664,826.6425712974624,,968.7285559886508,7.789094015346109,528.7441883293263,3.402200889307096,417.1319378487376,,386.55602119020716,8.87914693803259,,,,
11,,5673.697100431919,,,,,1775.712061357532,2962.0911209261767,,299.5505206087095,822.4636426013371,,966.255810643208,5.617346866277785,526.8959104918572,2.4536027510191616,413.9866789978017,,381.92826265589235,7.163682810183104,,,,
12,,5673.063922447607,,,,,1770.4051598375522,2954.5667541334806,,297.93176300563294,819.2261941849222,,964.4398533562571,4.0511240144094245,525.5629675721975,1.769491765969633,411.6356508318693,,378.90163449607616,5.926872019694201,,,,
13,,5672.593480826771,,,,,1766.2671418743114,2948.647167487419,,296.7650350680977,816.7112048542074,,963.103911571112,2.921593800560686,524.6016744207834,1.2761238992479775,409.87228050217436,,376.7409539604577,5.035187846920849,,,,
14,,5672.245939188401,,,,,1763.0319947244298,2943.9804034423632,,295.924191472636,814.7522738537199,,962.1192648482108,2.1069980344054784,523.9084080330579,0.9203163515924189,408.5451900743384,,375.20117212082926,4.392347312754907,,,,
