,ele_load,p_el,p_hp,p_eb,p_pv,p_fc,p_bs,p_bs_ch,p_bs_di
0,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
1,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
2,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
3,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
4,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
5,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
6,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
7,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
8,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
9,922.640190977143,0.0,421.84082181418125,0.0,0.0,1344.4810127913242,3786.738875574757,0.0,0.0
10,922.640190977143,0.0,421.84082181418125,0.0,0.0,380.13735139059133,3786.738875574757,0.0,964.3436614007329
11,922.640190977143,0.0,421.84082181418125,0.0,0.0,940.728890872194,2771.6402846266174,0.0,403.7521219191302
12,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,2346.638051027533,0.0,0.0
13,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,2346.638051027533,0.0,0.0
14,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,2346.638051027533,0.0,0.0
15,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,2346.638051027533,0.0,0.0
16,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,2346.638051027533,0.0,0.0
17,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,2346.638051027533,0.0,0.0
18,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,2346.638051027533,0.0,0.0
19,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,2346.638051027533,0.0,0.0
20,948.662708451428,0.0,421.84082181418125,0.0,0.0,649.4932340191638,2346.638051027533,0.0,721.0102962464455
21,948.662708451428,0.0,421.84082181418125,0.0,0.0,1210.0847735007665,1587.6798444523274,0.0,160.41875676484278
22,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,1418.8179952261771,0.0,0.0
23,948.662708451428,0.0,421.84082181418125,0.0,0.0,1370.5035302656092,1418.8179952261771,0.0,0.0
24,977.79053772,0.0,421.84082181418125,0.0,0.0,1399.6313595341812,1418.8179952261771,0.0,0.0
25,977.79053772,0.0,421.84082181418125,0.0,0.0,1399.6313595341812,1418.8179952261771,0.0,0.0
26,977.79053772,0.0,421.84082181418125,0.0,0.0,1399.6313595341812,1418.8179952261771,0.0,0.0
27,977.79053772,0.0,421.84082181418125,0.0,0.0,1399.6313595341812,1418.8179952261771,0.0,0.0
28,977.79053772,0.0,421.84082181418125,0.0,0.0,1399.6313595341812,1418.8179952261771,0.0,0.0
29,977.79053772,0.0,421.84082181418125,0.0,0.0,1399.6313595341812,1418.8179952261771,0.0,0.0
30,977.79053772,0.0,421.84082181418125,0.0,0.0,1399.6313595341812,1418.8179952261771,0.0,0.0
31,977.79053772,0.0,421.84082181418125,0.0,0.0,1399.6313595341812,1418.8179952261771,0.0,0.0
