,ele_load,p_el,p_hp,p_eb,p_pv_hour,p_fc_hour,p_bs_hour,p_bs_ch_hour,p_bs_di_hour,g_ht,g_ht_ch,g_ht_di,g_hp,g_eb,g_fc_hour,g_demand,water_load,total_g_load,g_rh,h_fc_hour,h_el,h_hs,h_pur
26,140.3947298,0,321.9488246,0,0,462.3435544,167.121494,0,0,2302.719062,419.7413741,0,1416.574828,0,554.8122653,1549.816463,1.829256,1551.645719,0,28.89647215,0,0,28.89647215
27,145.3223794,0,321.9488246,0,0,467.271204,167.121494,0,0,2680.486299,382.2320354,0,1416.574828,0,560.7254448,1595.068237,0,1595.068237,0,29.20445025,0,0,58.65212054
28,149.2139001,0,321.9488246,0,0,471.1627247,167.121494,0,0,3024.495131,351.2481106,0,1416.574828,0,565.3952696,1628.892731,1.829256,1630.721987,0,29.44767029,0,29.44767029,0
29,152.7962992,0,305.9118715,0,0,458.7081707,167.121494,0,0,3340.61843,232.7994903,0,1346.012235,0,550.4498048,1659.863325,3.799224,1663.662549,0,28.66926067,0,0,87.45627829
30,157.505309,0,321.9488246,0,0,480.8493538,167.121494,1.395220198,0,3550.137971,276.8234222,0,1416.574828,0,577.0192245,1686.798974,29.971656,1716.77063,0,30.05308461,0,58.78701762,0
31,301.6842062,0,321.9488246,0,169.8245614,459.7429282,168.4469532,7.193645052,1.259186228,3799.279051,0,1063.919127,1416.574828,0,551.6915138,2947.758269,84.4272,3032.185469,0,28.73393301,0,28.73393301,0
32,312.5834921,0,338.5663093,154.5530144,502.2368421,306.8980769,284.9945264,3.432103235,0,2617.146688,0,1144.550233,1489.691761,139.0977129,368.2776923,3029.047799,112.5696,3141.617399,0,19.18112981,0,0,43.2807083
33,268.3564857,0,321.9488246,339.3024729,610.6688596,318.9389235,288.2550245,0,0,1345.424207,0,629.4426026,1416.574828,305.3722256,382.7267082,2647.859909,86.256456,2734.116365,0,19.93368272,0,24.0995785,0
34,211.1970004,0,321.9488246,138.7497356,605.2412281,66.65433242,288.2550245,0,0,646.0435372,0,581.4391835,1416.574828,124.874762,79.9851989,2161.645357,41.228616,2202.873973,0,4.165895776,0,4.165895776,0
35,158.5301563,0,321.9488246,198.9042315,557.7192982,121.663914,288.2550245,0,0,0,0,0,1416.574828,179.0138083,145.9966968,1674.043573,67.54176,1741.585333,0,7.603994627,0,0,7.603994627
36,126.0121615,48.39269016,321.9488246,24.99692432,512.6096491,0,227.8647275,8.705501571,17.446453,0,0,0,1416.574828,22.49723189,0,1397.843444,41.228616,1439.07206,0,0,1.075393115,0,0
37,75.83898336,74.28548327,321.9488246,56.21618248,561.0964912,0,283.5381607,32.80701754,0,0,485.7539462,0,1416.574828,50.59456423,0,958.9015262,22.51392,981.4154462,0,0,1.650788517,1.075393115,0
38,64.4064875,74.28548327,321.9488246,153.0434152,617.0614035,0,493.6801852,10.97587719,7.598684211,437.1785515,670.725064,0,1416.574828,137.7390737,0,849.8179578,33.77088,883.5888378,0,0,1.650788517,2.726181632,0
39,66.6492878,74.28548327,321.9488246,103.9245598,579.9122807,0,744.6457593,22.08403676,8.979911447,1040.831109,586.1594517,0,1416.574828,93.53210378,0,841.4902482,82.457232,923.9474802,0,0,1.650788517,4.376970149,0
40,57.65294093,0,321.9488246,0,327.3464912,24.17607354,815.3073665,25.80160448,53.88080521,1568.374616,619.4506318,0,1416.574828,0,29.01128825,784.9068685,41.228616,826.1354845,0,1.511004596,0,6.027758666,0
41,97.18083607,0,196.8211933,0,1.447368421,292.554661,322.1293195,0,0,2125.880184,27.91736776,0,866.0132507,0,351.0655932,1127.248196,61.91328,1189.161476,0,18.28466631,0,4.51675407,13.76791224
42,174.6376928,0,221.1545031,0,0,395.7921959,322.1293195,0,0,2151.005815,0,420.0152038,973.0798135,0,474.9506351,1843.702476,24.343176,1868.045652,0,24.73701224,0,0,24.73701224
43,121.2863364,0,224.6745511,0,0,345.9608875,322.1293195,0,0,1684.322256,0,0,988.5680246,0,415.153065,1345.607034,58.114056,1403.72109,0,21.62255547,0,0,21.62255547
44,157.6150007,0,278.6835668,0,0,436.2985675,322.1293195,0,0,1684.322256,0,0,1226.207694,0,523.558281,1642.824855,106.94112,1749.765975,0,27.26866047,0,0,94.62943398
