,ele_load,p_el,p_hp,p_eb,p_pv_hour,p_fc_hour,p_bs_hour,p_bs_ch_hour,p_bs_di_hour,g_ht,g_ht_ch,g_ht_di,g_hp,g_eb,g_fc_hour,g_demand,water_load,total_g_load,g_rh,h_fc_hour,h_el,h_hs,h_pur
0,922.640190977143,0.0,421.84082181418125,0.0,0.0,1230.4730308480023,3702.147326329079,0.0,114.00798194332192,4652.410476396396,0.0,0.0,1856.0996159823983,0.0,1476.5676370176018,3303.437,29.230253,3332.667253,0.0,76.90456442800014,0.0,0.0,157.97025875183357
1,948.662708451428,0.0,421.84082181418125,0.0,0.0,1297.051109181335,2128.7548578460405,0.0,73.45242108427402,4652.410476396396,0.0,0.0,1856.0996159823976,0.0,1556.4613310176023,3407.999,4.561947,3412.560947,0.0,81.06569432383344,0.0,81.06569432383344,0.0
2,977.79053772,0.0,421.84082181418125,0.0,0.0,1371.5740641813354,1389.2840001179184,0.0,28.05729535284603,4652.410476396396,0.0,0.0,1856.0996159823976,0.0,1645.8888770176022,3499.792,2.196493,3501.988493,0.0,85.72337901133344,0.0,0.0,85.72337901133344
3,1009.19379428571,0.0,421.84082181418125,0.0,0.0,1431.0346160998909,1064.4100539270694,0.0,0.0,4652.410476396396,0.0,25.060844697733046,1856.0996159823976,0.0,1717.2415393198694,3598.402,0.0,3598.402,0.0,89.43966350624322,0.0,0.0,180.94015169141517
4,1042.16698914857,0.0,421.84082181418125,0.0,0.0,1464.0078109627518,1064.4100539270694,0.0,0.0,4624.5650933989145,0.0,86.72650386230043,1856.0996159823976,0.0,1756.8093731553017,3697.439,2.196493,3699.6354929999998,0.0,91.50048818517196,0.0,91.50048818517196,0.0
5,1066.42829130857,0.0,421.84082181418125,0.0,0.0,1488.2691131227512,1064.4100539270694,0.0,0.0,4528.202311329683,0.0,132.09939527030087,1856.0996159823976,0.0,1785.9229357473016,3769.56,4.561947,3774.121947,0.0,93.01681957017195,0.0,0.0,93.01681957017195
6,1093.78364857714,0.0,421.84082181418125,0.0,0.0,1515.6244703913214,1064.4100539270694,0.0,0.0,4381.425205473793,0.0,183.258712548017,1856.0996159823976,0.0,1818.7493644695853,3822.119,35.988693,3858.107693,0.0,94.72652939945759,0.0,0.0,194.7265293994576
7,1121.91360685714,0.0,421.84082181418125,0.0,0.0,1543.7544286713212,1064.4100539270694,0.0,0.0,4177.804413753774,0.0,235.86666961201672,1856.0996159823976,0.0,1852.5053144055855,3843.095,101.3766,3944.4716,0.0,96.4846517919576,0.0,100.0,96.4846517919576
8,1222.29718628571,0.0,421.84082181418125,0.0,24.561403508771928,1619.5766045911196,1064.4100539270694,0.0,0.0,3915.7303364070885,0.0,453.07525850825937,1856.0996159823976,0.0,1943.491925509343,4117.498,135.1688,4252.6668,0.0,101.22353778694495,0.0,100.0,1.223537786944945
9,1111.52732514857,0.0,421.84082181418125,0.0,542.1052631578947,991.2628838048566,1064.4100539270694,0.0,0.0,3412.3133825090226,0.0,866.9688164517745,1856.0996159823976,0.0,1189.5154605658279,3809.0108,103.573093,3912.583893,0.0,61.95393023780355,0.0,0.0,61.95393023780355
10,964.013566062857,0.0,421.84082181418125,0.0,868.4210526315788,517.4333352454593,1064.4100539270694,0.0,0.0,2449.0146975626067,0.0,982.6711547230511,1856.0996159823976,0.0,620.9200022945511,3410.1852,49.505573,3459.690773,0.0,32.339583452841204,0.0,0.0,32.339583452841204
11,863.732426057143,0.0,421.84082181418125,0.0,1007.0175438596492,323.82905871051076,1487.8402568993404,45.2733546988356,0.0,1357.1578589814387,0.0,907.115593564989,1856.0996159823976,0.0,388.5948704526129,3070.7088,81.10128,3151.8100799999997,0.0,20.239316169406923,0.0,0.0,41.29470111902899
12,751.191330634286,416.3059875978294,421.84082181418125,59.97310936090263,1236.842105263158,484.90606589540363,991.5352498595421,582.7549500494953,510.3180282981334,349.25164390922856,0.0,314.3264795183057,1856.0996159823976,53.97579842481237,581.8872790744844,2756.7836,49.505573,2806.289173,0.0,30.306629118462723,9.251244168840653,21.05538494962207,0.0
13,629.855589257143,416.3059875978294,421.84082181418125,815.5515076584709,2439.4736842105262,0.0,2563.203364043172,1322.4623028274011,1166.5425249444995,0.0,156.32881287502153,0.0,1856.0996159823976,733.9963568926238,0.0,2406.7334,27.03376,2433.76716,0.0,0.0,9.251244168840653,0.0,30.24773112878616
14,497.057210742857,416.3059875978294,421.84082181418125,1070.9289588198571,1559.6491228070172,780.0035114634798,1592.101078297024,525.9359549409385,592.416299645166,140.69593158751937,1729.887052676445,0.0,1856.0996159823976,963.8360629378715,936.0042137561757,1985.5022,40.55064,2026.0528399999998,0.0,48.75021946646747,9.251244168840653,39.498975297626814,0.0
15,591.436346982857,416.3059875978294,421.84082181418125,281.6325590715396,1491.2280701754387,435.2709398328339,2237.440086003306,766.4264671950006,551.1431726531353,1697.5942789963199,316.0807009461839,0.0,1856.0996159823976,253.46930316438565,522.3251277994005,2216.8022,99.011146,2315.813346,0.0,27.204433739552115,9.251244168840653,0.0,51.762303727205094
16,527.398712348571,0.0,421.84082181418125,0.0,505.2631578947368,540.9458265038983,2992.283256329305,108.14822545452115,11.178775218638355,1982.0669098478854,386.0280347870756,0.0,1856.0996159823976,0.0,649.134991804678,2069.701,49.505573,2119.206573,0.0,33.809114156493635,0.0,33.809114156493635,0.0
